miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-let-7c	9952	acute lymphoblastic leukemia (ALL)	down-regulated	microarray	"Six (i.e., miR-128a,miR-128b, miR-151*, miR-5, miR-130b, and miR-210) were expressed at a significantly higher level in ALL than in AML. In contrast, the remaining 21 (i.e., let-7b, miR-223, let-7e, miR-125a, miR-130a, miR-221, miR-222, miR-23a, miR-23b, miR-24, miR-27a, miR-27b, let-7a,let-7c, miR-199b, miR-26a, miR-335, miR-21,miR-22, miR-424, and miR-451) were expressed at a significantly higher level in AML compared with ALL."	unknown	unknown	2007	18056805	Unspecified
hsa-miR-1	3978	cardiomyopathy	up-regulated	"Northern blot, qRT-PCR etc"	miR-1 and miR-133 are involved in regulating cell fate with increased miR-1 and/or decreased miR-133					
levels favoring apoptosis and decreased miR-1 and/or miR-133 levels favoring survival. Post-transcriptional repression of HSP60 and HSP70 by miR-1 and of caspase-9 by miR-133 contributes significantly to their opposing actions.										
	"HSP60,HSP70"	"GJA1,Hand2,HDAC4,TMSB4X"	2007	17715156	Causal	1	743			
hsa-miR-124a	2786	Cerebellar neurodegeneration	down-regulated	"Northern blot, qRT-PCR etc"	Essential for the survival of Purkinje cells and its absence leads to a slow degeneration of these cells.	unknown	unknown	2007	17606634	Unspecified
hsa-miR-139	4905	pancreatic cancer	down-regulated	"Northern blot, qRT-PCR etc"	Aberrantly expressed miRNA precursors in pancreatic adenocarcinoma.PAM testing was conducted on 10 tumor samples and 15 adjacent benign samples. PAM has correctly classified 100% of the tested tumor samples and 11 of 15 of the tested benign samples. The 20 top ranked differentially expressed miRNAs in pancreatic adenocarcinoma as selected by PAM.	unknown	unknown	2006	17149698	Unspecified
hsa-miR-145	3459	breast cancer	down-regulated	"Northern blot, qRT-PCR etc"	"Aberrant expression was correlated with specific breast cancer biopathologic features, such as estrogen and progesterone receptor expression, tumor stage, vascular invasion, or proliferation index"	unknown	FLJ21308	2005	16103053	Unspecified
hsa-miR-155	9119	acute myeloid leukemia (AML)	up-regulated	"Northern blot, qRT-PCR etc"	FLT3-ITD  samples were characterized by upregulation of miR-155. Further experiments demonstrated that the up-regulation of miR-155 was independent from FLT3 signaling.	unknown	AGTR1	2008	18308931	Unspecified
hsa-miR-16	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"miR-15 and miR-16 are located at chromosome 13q14, a region deleted in more than half of B cell chronic lymphocytic leukemia (CLL)s (B-CLL). Detailed deletion and expression analysis shows that miR-15 and miR-16 are located within a 30-kb region of loss in CLL, and that both genes are deleted or down-regulated in the majority (68%) of CLL cases."	RARS	"BCL2,CGI-38"	2002	12434020	Causal
hsa-miR-181a-2	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-miR-181b	1040	chronic lymphocytic leukemia (CLL)	down-regulated	"Northern blot, qRT-PCR etc"	"miR-29b and miR-181b target oncogene TCL1, which leads to malignant cell proliferation."	Tcl1	unknown	2006	17178851	Causal
hsa-miR-181b	9119	acute myeloid leukemia (AML)	up-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	unknown	2008	18478077	Unspecified
hsa-miR-181b	9119	acute promyelocytic leukemia (APL)	down-regulated	microarray	"upregulation of miR-15a,miR-15b, miR-16-1, let-7a-3, let-7c, let-7d, miR-223,miR-342 and miR-107, whereas miR-181b was downregulated in in acute promyelocytic leukemia patients and cell lines during all-trans-retinoic acid (ATRA) treatment."	unknown	unknown	2007	17260024	Unspecified
hsa-miR-181b	1040	B-cell chronic lymphocytic leukemia	up-regulated	microarray	Differentially expressed in CLL cells versus CD16 cells.	unknown	unknown	2004	15284443	Unspecified
hsa-miR-181b	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	The expression levels of miRNA is affected by wtp53. Down-regulation of wt-p53 via siRNA abolishes the effect of wt-p53 in regulating miRNAs in HCT-116 (wt-p53) cells.	unknown	unknown	2006	16609010	Unspecified
hsa-miR-181b	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"miR-15b (p = 0.0278), miR-181b (p = 0.0002), miR-191(p = 0.0264) and miR-200c (p = 0.0017) were significantly over-expressed in tumors compared to normal colorectal samples.Sequencing analysis revealed that hsamiR-181b (p = 0.0098)expression was strongly associated with the mutation status of the p53 tumor suppressor gene."	unknown	unknown	2006	18079988	Unspecified
hsa-miR-181b	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	"Expression patterns for these 5 microRNAs(miR-20a, miR-21, miR-106a, miR-181b, and miR-203) distinguish tumor vs paired nontumor status with 96% or 98% accuracy based on 3 nearest neighbors or nearest centroid algorithms, respectively (10-fold cross validation, repeated 100 times)."	unknown	unknown	2008	18230780	Unspecified
hsa-miR-181b	3068	glioblastoma	down-regulated	"Northern blot, qRT-PCR etc"	"The strong down-regulation of miR-128 and miR-181 family might indicate some non-random correlation with the de-differentiated state of tumor cells, or even with their stem-like nature, in some way resembling early embryonic stages."	unknown	unknown	2005	16039986	Unspecified
hsa-miR-181b-1	3459	breast cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-181b-1	4905	pancreatic cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-181b-1	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-181b-1	10286	prostate cancer	up-regulated	microarray	commonly up-regulated microRNA in 3 or more types of solid cancers	unknown	unknown	2006	16461460	Unspecified
hsa-miR-181b-2	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-181c	9119	acute myeloid leukemia (AML)	up-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	unknown	2008	18478077	Unspecified
hsa-miR-181c	10652	Alzheimer's disease	down-regulated	microarray	Significantly changed miRNAs in cortex of sporadic AD cases.	unknown	unknown	2008	18434550	Unspecified
hsa-miR-181c	3068	glioblastoma	down-regulated	"Northern blot, qRT-PCR etc"	"The strong down-regulation of miR-128 and miR-181 family might indicate some non-random correlation with the de-differentiated state of tumor cells, or even with their stem-like nature, in some way resembling early embryonic stages."	unknown	unknown	2005	16039986	Unspecified
hsa-miR-181c	684	hepatocellular carcinoma (HCC)	down-regulated	microarray	"One of the miRNAs differentially expressed between human HCC and LC.To validate their ability to correctly distinguish HCC or cirrhosis tissue types, the 35 deregulated miRNAs were assayed using the algorithms SVM and PAM. PAM correctly classified 86% of the samples and SVM classified 91%."	unknown	unknown	2007	17616664	Unspecified
hsa-miR-181c	3905	lung cancer	down-regulated	microarray	One of the forty-three miRNAs differentially expressed in lung cancer tissues versus noncancerous lung tissues.	unknown	unknown	2006	16530703	Unspecified
hsa-miR-181c	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	Aberrantly expressed miRNA precursors in pancreatic adenocarcinoma.PAM testing was conducted on 10 tumor samples and 15 adjacent benign samples. PAM has correctly classified 100% of the tested tumor samples and 11 of 15 of the tested benign samples. The 20 top ranked differentially expressed miRNAs in pancreatic adenocarcinoma as selected by PAM.	unknown	unknown	2006	17149698	Unspecified
hsa-miR-181c	4905	pancreatic cancer	up-regulated	microarray	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-181c	3969	papillary thyroid carcinoma (PTC)	up-regulated	microarray	Differentially expressed miRNA in PTC tumors	unknown	unknown	2005	16365291	Unspecified
hsa-miR-181d	1208	autism spectrum disorder (ASD)	down-regulated	microarray	one of wenty-eight miRNAs was expressed at significantly different levels compared to the non-autism control set in at least one of the autism samples.	unknown	unknown	2008	18563458	Unspecified
hsa-miR-181d	14691	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-181d	3191	nemaline myopathy (NM)	up-regulated	microarray	Commonly dysregulated miRNA in five or more types of muscular disorders.	unknown	unknown	2007	17942673	Unspecified
hsa-miR-181d	4905	pancreatic cancer	up-regulated	"Northern blot, qRT-PCR etc"	Differentially Expressed MicroRNA in pancreatic cancer compared to Normal Pancreas.	unknown	unknown	2007	17473300	Unspecified
hsa-miR-182	9119	acute myeloid leukemia (AML)	down-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	unknown	2008	18478077	Unspecified
hsa-miR-182	4001	epithelial ovarian cancer (EOC)	up-regulated	microarray	DNA copy number status of 17 genomic loci containing miRNAs differentially expressed between IOSE cells and EOC cell lines.	unknown	unknown	2008	18458333	Unspecified
hsa-miR-182	684	hepatocellular carcinoma (HCC)	up-regulated	microarray	One of the 22 significantly up- and down-regulated miRNAs obtained using significance analysis of microarrays with false discovery rate of 5%. Majority of the predicted targets of these 22 differentially regulated miRNAs reside in pathways reported to be dysregulated during carcinogenesis.	unknown	unknown	2008	18319255	Unspecified
hsa-miR-182	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-182*	3908	non-small cell lung cancer (NSCLC)	up-regulated	"Northern blot, qRT-PCR etc"	"A five-microRNA signature (let-7a, miR-221, miR-137, miR-372, and miR-182*) that is associated with survival and cancer relapse in NSCLC patients. This microRNA signature was validated by the testing set and an independent cohort. Patients with high-risk scores in their microRNA signatures had poor overall and disease-free survivals compared to the low-risk-score patients. This microRNA signature is an independent predictor of the cancer relapse and survival of NSCLC patients.promoted invasiveness of lung cancer cell lines."	unknown	unknown	2008	18167339	Causal
hsa-miR-182*	684	hepatocellular carcinoma (HCC)	up-regulated	microarray	One of the 22 significantly up- and down-regulated miRNAs obtained using significance analysis of microarrays with false discovery rate of 5%. Majority of the predicted targets of these 22 differentially regulated miRNAs reside in pathways reported to be dysregulated during carcinogenesis.	unknown	unknown	2008	18319255	Unspecified
hsa-miR-183	1040	B-cell chronic lymphocytic leukemia	up-regulated	microarray	Differentially expressed in CLL cells versus CD17 cells.	unknown	unknown	2004	15284443	Unspecified
hsa-miR-183	1985	colorectal cancer	up-regulated	"Northern blot, qRT-PCR etc"	Differentially expressed between neoplastic conditions (CRC cell lines and tumor samples) and non-tumoral colon tissues.	unknown	unknown	2006	16854228	Unspecified
hsa-miR-183	684	hepatocellular carcinoma (HCC)	up-regulated	microarray	One of the 22 significantly up- and down-regulated miRNAs obtained using significance analysis of microarrays with false discovery rate of 5%. Majority of the predicted targets of these 22 differentially regulated miRNAs reside in pathways reported to be dysregulated during carcinogenesis.	unknown	unknown	2008	18319255	Unspecified
hsa-miR-183	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-183	2144	ovarian cancer (OC)	down-regulated	microarray	Differentially expressed miRNA in ovarian cancer tissues and cell lines.	unknown	unknown	2008	18560586	Unspecified
hsa-miR-183	10584	retinitis pigmentosa (RP)	up-regulated	"Northern blot, qRT-PCR etc"	"Expression of miR-1 and miR-133 decreased by more than 2.5-fold (P<0.001), whereas expression of miR-96 and miR-183 increased by more than 3-fold (P<0.001) in Pro347Ser retinas, as validated by qPCR."	unknown	unknown	2007	18034880	Unspecified
hsa-miR-184	769	neuroblastoma (NB)	down-regulated	"Northern blot, qRT-PCR etc"	miR-184 overexpression induces neuroblastoma cell cycle arrest and apoptosis.	unknown	unknown	2007	17283129	Causal
hsa-miR-184	9119	acute myeloid leukemia (AML)	down-regulated	microarray	One of the 33 miRNAs showing different expression levels between leukaemia samples and normal bone marrow.	unknown	unknown	2008	18478077	Unspecified
hsa-miR-184	4001	epithelial ovarian cancer (EOC)	down-regulated	microarray	DNA copy number status of 17 genomic loci containing miRNAs differentially expressed between IOSE cells and EOC cell lines.	unknown	unknown	2008	18458333	Unspecified
hsa-miR-184	1909	malignant melanoma	down-regulated	"Northern blot, qRT-PCR etc"	"Differentially expressed microRNAs in primary malignant melanomas compared with benign nevi, analyzed by TaqMan realtime PCR."	unknown	unknown	2008	18379589	Unspecified
hsa-miR-184	8894	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	miRNAs frequently down-regulated in OSCC cell lines(<0.5-fold expression).	unknown	unknown	2008	18381414	Unspecified
